FIPS,Name,Area,Pop_2000,Pop_2010
54007,Braxton County,511,14702,14523
54009,Brooke County,89,25447,24069
54011,Cabell County,281,96784,96319
54013,Calhoun County,279,7582,7627
54015,Clay County,342,10330,9386
54017,Doddridge County,320,7403,8202
54019,Fayette County,662,47579,46039
54021,Gilmer County,339,7160,8693
54023,Grant County,477,11299,11937
54025,Greenbrier County,1020,34453,35480
54027,Hampshire County,640,20203,23964
54029,Hancock County,83,32667,30676
54031,Hardy County,582,12669,14025
54033,Harrison County,416,68652,69099
54035,Jackson County,464,28000,29211
54037,Jefferson County,210,42190,53498
54039,Kanawha County,902,200073,193063
54041,Lewis County,385,16919,16372
54043,Lincoln County,437,22108,21720
54045,Logan County,454,37710,36743
54047,McDowell County,533,27329,22113
54049,Marion County,309,56598,56418
54051,Marshall County,305,35519,33107
54053,Mason County,431,25957,27324
54055,Mercer County,419,62980,62264
54057,Mineral County,328,27078,28212
54059,Mingo County,423,28253,26839
54061,Monongalia County,360,81866,96189
54063,Monroe County,473,14583,13502
54065,Morgan County,229,14943,17541
54067,Nicholas County,647,26562,26233
54069,Ohio County,106,47427,44443
54071,Pendleton County,696,8196,7695
54073,Pleasants County,130,7514,7605
54075,Pocahontas County,940,9131,8719
54077,Preston County,649,29334,33520
54079,Putnam County,346,51589,55486
54081,Raleigh County,605,79220,78859
54083,Randolph County,1040,28262,29405
54085,Ritchie County,452,10343,10449
54087,Roane County,484,15446,14926
54089,Summers County,360,12999,13927
54091,Taylor County,173,16089,16895
54093,Tucker County,419,7321,7141
54095,Tyler County,256,9592,9208
54097,Upshur County,355,23404,24254
54099,Wayne County,506,42903,42481
54101,Webster County,553,9719,9154
54103,Wetzel County,358,17693,16583
54105,Wirt County,233,5873,5717
54107,Wood County,366,87986,86956
54109,Wyoming County,499,25708,23796
55001,Adams County,646,18643,20875
55003,Ashland County,1045,16866,16157
55005,Barron County,863,44963,45870
55007,Bayfield County,1478,15013,15014
55009,Brown County,530,226778,248007
55011,Buffalo County,672,13804,13587
55013,Burnett County,822,15674,15457
55015,Calumet County,318,40631,48971
55017,Chippewa County,1008,55195,62415
55019,Clark County,1210,33557,34690
55021,Columbia County,766,52468,56833
55023,Crawford County,571,17243,16644
55025,Dane County,1197,426526,488073
55027,Dodge County,876,85897,88759
55029,Door County,482,27961,27785
55031,Douglas County,1304,43287,44159
55033,Dunn County,850,39858,43857
55035,Eau Claire County,638,93142,98736
55037,Florence County,488,5088,4423
55039,Fond du Lac County,720,97296,101633
55041,Forest County,1014,10024,9304
55043,Grant County,1147,49597,51208
55045,Green County,584,33647,36842
55047,Green Lake County,349,19105,19051
55049,Iowa County,763,22780,23687
55051,Iron County,758,6861,5916
55053,Jackson County,988,19100,20449
55055,Jefferson County,556,74021,83686
55057,Juneau County,767,24316,26664
55059,Kenosha County,272,149577,166426
55061,Kewaunee County,343,20187,20574
55063,La Crosse County,452,107120,114638
55065,Lafayette County,634,16137,16836
55067,Langlade County,871,20740,19977
55069,Lincoln County,879,29641,28743
55071,Manitowoc County,589,82887,81442
55073,Marathon County,1545,125834,134063
55075,Marinette County,1399,43384,41749
55077,Marquette County,456,15832,15404
55078,Menominee County,358,4562,4232
55079,Milwaukee County,241,940164,947735
55081,Monroe County,901,40899,44673
55083,Oconto County,998,35634,37660
55085,Oneida County,1113,36776,35998
55087,Outagamie County,638,160971,176695
55089,Ozaukee County,233,82317,86395
55091,Pepin County,232,7213,7469
55093,Pierce County,574,36804,41019
55095,Polk County,914,41319,44205
55097,Portage County,801,67182,70019
55099,Price County,1254,15822,14159
55101,Racine County,333,188831,195408
55103,Richland County,586,17924,18021
55105,Rock County,718,152307,160331
55107,Rusk County,914,15347,14755
55109,St. Croix County,722,63155,84345
55111,Sauk County,831,55225,61976
55113,Sawyer County,1257,16196,16557
55115,Shawano County,893,40664,41949
55117,Sheboygan County,511,112646,115507
55119,Taylor County,975,19680,20689
55121,Trempealeau County,733,27010,28816
55123,Vernon County,792,28056,29773
55125,Vilas County,857,21033,21430
55127,Walworth County,555,93759,102228
55129,Washburn County,797,16036,15911
55131,Washington County,431,117493,131887
55133,Waukesha County,550,360767,389891
55135,Waupaca County,748,51731,52410
55137,Waushara County,626,23154,24496
55139,Winnebago County,434,156763,166994
55141,Wood County,793,75555,74749
56001,Albany County,4274,32014,36299
56003,Big Horn County,3137,11461,11668
56005,Campbell County,4803,33698,46133
56007,Carbon County,7898,15639,15885
56009,Converse County,4255,12052,13833
56011,Crook County,2854,5887,7083
56013,Fremont County,9184,35804,40123
56015,Goshen County,2225,12538,13249
56017,Hot Springs County,2004,4882,4812
56019,Johnson County,4154,7075,8569
56021,Laramie County,2686,81607,91738
56023,Lincoln County,4076,14573,18106
56025,Natrona County,5340,66533,75450
56027,Niobrara County,2626,2407,2484
56029,Park County,6942,25786,28205
56031,Platte County,2084,8807,8667
56033,Sheridan County,2524,26560,29116
56035,Sublette County,4887,5920,10247
56037,Sweetwater County,10427,37613,43806
56039,Teton County,3995,18251,21294
56041,Uinta County,2081,19742,21118
56043,Washakie County,2239,8289,8533
56045,Weston County,2398,6644,7208
